"Reference","Value","Footprint","Do Not Place","MANUFACTURER","ManufacturerPartNumber","Qty","Link"
"BT1","3.3V","Battery:BatteryHolder_Keystone_1060_1x2032","","KEYSTONE","1060","1","https://www.tme.eu/hr/details/keys1060/baterije-kutije-i-drzaci/keystone/1060/"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","","SAME SKY","CMT-9605-85T","1","https://www.tme.eu/hr/details/cmt-9605-85t/signalizatori-elektromag-bez-generatora/same-sky/"
"C1","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","PANASONIC","ECEA0JKA101I","1","https://www.tme.eu/hr/details/ecea0jka101i/kondenzatori-elektrolitski-tht/panasonic/"
"C2","100nF","Capacitor_SMD:C_1206_3216Metric","","SAMSUNG","CL31B104KBCNNNC","1","https://www.tme.eu/hr/details/cl31b104kbcnnnc/kondenzatori-mlcc-smd/samsung/"
"D1","3.4 Zener","Diode_SMD:D_SOD-323F","","ONESEMI","MM3Z3V3T1G","1","https://www.tme.eu/hr/details/mm3z3v3t1g/diode-zener-smd/onsemi/"
"D2","GREEN","LED_SMD:LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder","","EVERLIGHT","ELSH-F71G1-0LPNM-CG1G2","1","https://www.tme.eu/hr/katalog/led-diode-smd-u-boji_113363/?params=754:1453354;35:2084324_led-colour:green;case:4530"
"R1","10k","Resistor_SMD:R_1206_3216Metric","","ROYALOHM","1206S4F1002T5E","1","https://www.tme.eu/hr/details/smd1206-10k-1%25/otpornici-smd/royalohm/1206s4f1002t5e/"
"R2","300R","Resistor_SMD:R_1206_3216Metric","","ROYALOHM","1206S4F3000T5E","1","https://www.tme.eu/hr/details/smd1206-300r-1%25/otpornici-smd/royalohm/1206s4f3000t5e/"
"R3","330R","Resistor_SMD:R_1206_3216Metric","","ROYALOHM","1206S4J0331T5E","1","https://www.tme.eu/hr/details/smd1206-330r/otpornici-smd/royalohm/1206s4j0331t5e/"
"R4","100R","Resistor_SMD:R_1206_3216Metric","","ROYALOHM","1206S4J0101T5E","1","https://www.tme.eu/hr/details/smd1206-100r/otpornici-smd/royalohm/1206s4j0101t5e/"
"SW1","RESET","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","","KNITTER-SWITCH","TSS 61 R","1","https://www.tme.eu/hr/details/tss61r/mikroprekidaci-tact/knitter-switch/tss-61-r/"
"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","","KNITTER-SWITCH","TSS 62 N","20","https://www.tme.eu/hr/details/tss62n/mikroprekidaci-tact/knitter-switch/tss-62-n/"
"SW22","SW_SPDT_312","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","","C&K","OS102011MA1QN1C","1","https://www.tme.eu/hr/details/os102011ma1qn1c/prekidaci-klizni/c-k/"
"U1","ATmega328-P","Package_DIP:DIP-28_W7.62mm","","Microchip","ATMEGA328P-PU","1","https://www.tme.eu/hr/details/atmega328p-pu/obitelj-avr-8-bita/microchip-technology/"
"U2","DM-OLED096-636","DM-OLED096-636:MODULE_DM-OLED096-636","","RAYSTAR OPTRONICS","REA012864LWPP3N00000","1","https://www.tme.eu/hr/details/rea012864lwpp3n0/displeji-oled-graficki/raystar-optronics/rea012864lwpp3n00000/"
