"Reference","Value","Footprint","Do Not Place","MANUFACTURER","ManufacturerPartNumber","Qty"
"BT1","3.3V","Battery:BatteryHolder_Keystone_1060_1x2032","","","","1"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","","","","1"
"C1","500uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","","1"
"C2","100nF","Capacitor_SMD:C_1206_3216Metric","","","","1"
"D1","3.4 Zener","Diode_SMD:D_SOD-323F","","","","1"
"D2","GREEN","LED_SMD:LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder","","","","1"
"R1","10k","Resistor_SMD:R_1206_3216Metric","","","","1"
"R2","300R","Resistor_SMD:R_1206_3216Metric","","","","1"
"R3","330R","Resistor_SMD:R_1206_3216Metric","","","","1"
"R4","100R","Resistor_SMD:R_1206_3216Metric","","","","1"
"SW1","RESET","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","","","","1"
"SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","","","","20"
"SW22","SW_SPDT_312","Button_Switch_THT:SW_Slide_SPDT_Angled_CK_OS102011MA1Q","","","","1"
"U1","ATmega328-P","Package_DIP:DIP-28_W7.62mm","","","","1"
"U2","DM-OLED096-636","DM-OLED096-636:MODULE_DM-OLED096-636","","Displaymodule","","1"
